0,Seoul,187,97,9640
1,Suwon,194,59,8880
2,Suwon,217,27,7636
3,Seoul,176,62,9370
4,Suwon,221,25,10810
5,Seoul,260,60,12828
6,Suwon,201,89,11265
7,Seoul,218,6,11482
8,Suwon,237,34,11152
9,Seoul,210,57,10557
10,Suwon,142,51,6577
11,Suwon,198,60,10543
12,Suwon,171,37,6379
13,Seoul,192,31,8755
14,Suwon,176,95,7902
15,Suwon,134,15,5325
16,Seoul,206,69,10134
17,Seoul,188,25,11191
18,Seoul,260,21,13161
19,Suwon,192,13,7624
20,Seoul,151,62,7927
21,Seoul,161,67,8027
22,Seoul,185,61,10537
23,Seoul,226,26,10065
24,Seoul,184,59,10438
25,Seoul,221,32,11469
26,Seoul,161,6,8605
27,Suwon,222,3,10593
28,Seoul,178,81,10967
29,Suwon,246,79,12464
30,Suwon,156,68,6479
31,Suwon,235,84,9270
32,Suwon,216,93,10226
33,Seoul,154,46,7632
34,Suwon,238,96,13259
35,Suwon,215,94,10129
36,Suwon,157,74,8717
37,Suwon,199,58,7850
38,Seoul,172,9,9033
39,Suwon,240,19,11368
40,Suwon,192,66,8943
41,Seoul,227,32,12241
42,Suwon,130,78,7185
43,Suwon,238,55,11192
44,Seoul,236,88,12860
45,Seoul,203,54,11392
46,Suwon,228,90,10989
47,Seoul,221,2,11544
48,Suwon,217,72,11193
49,Seoul,199,10,10229
50,Suwon,215,24,8995
51,Seoul,183,89,9159
52,Suwon,183,28,9009
53,Seoul,202,33,9425
54,Suwon,209,64,11254
55,Suwon,206,45,9421
56,Suwon,206,56,7992
57,Suwon,221,31,10472
58,Suwon,176,53,7113
59,Suwon,229,69,9760
60,Suwon,248,28,11339
61,Seoul,187,28,10926
62,Seoul,192,16,8832
63,Seoul,165,52,8167
64,Seoul,180,58,11705
65,Suwon,198,91,8929
66,Seoul,204,36,9723
67,Seoul,206,65,13456
68,Seoul,193,17,8570
69,Seoul,230,2,11531
70,Suwon,214,36,10027
71,Seoul,205,6,9924
72,Seoul,175,60,9162
73,Suwon,166,96,8591
74,Seoul,233,46,13843
75,Seoul,178,39,8397
76,Seoul,208,24,12187
77,Suwon,198,1,8676
78,Suwon,213,88,10158
79,Suwon,237,63,10850
80,Suwon,214,88,11975
81,Seoul,164,29,8166
82,Seoul,220,52,10628
83,Suwon,215,63,11095
84,Seoul,197,43,9339
85,Seoul,151,46,8084
86,Seoul,175,70,10188
87,Seoul,194,42,11448
88,Seoul,235,59,13307
89,Suwon,162,62,7705
90,Seoul,223,90,14487
91,Suwon,214,53,9427
92,Suwon,209,44,9376
93,Seoul,173,71,8653
94,Seoul,184,61,11805
95,Suwon,184,39,8703
96,Suwon,268,86,11910
97,Suwon,180,69,9419
98,Seoul,230,97,13426
99,Suwon,189,17,9179
