0,Seoul,229,16,13835
1,Suwon,215,66,10162
2,Seoul,229,49,11264
3,Suwon,176,64,8699
4,Suwon,202,28,8294
5,Suwon,140,85,6210
6,Suwon,188,87,10486
7,Seoul,140,19,7677
8,Suwon,222,80,9906
9,Seoul,207,10,9341
10,Seoul,150,92,8550
11,Seoul,198,65,9503
12,Seoul,214,6,9890
13,Suwon,204,25,9175
14,Suwon,281,68,13114
15,Suwon,193,69,10589
16,Suwon,212,76,9785
17,Suwon,198,50,7535
18,Seoul,129,31,6708
19,Suwon,164,93,7962
20,Seoul,203,85,13831
21,Suwon,204,66,10138
22,Seoul,218,95,10861
23,Seoul,206,76,11535
24,Suwon,205,80,10496
25,Suwon,229,85,9672
26,Suwon,185,19,7884
27,Seoul,185,53,10154
28,Suwon,204,71,9151
29,Seoul,184,51,10437
30,Seoul,208,87,10498
31,Suwon,166,61,7546
32,Seoul,209,27,12156
33,Seoul,220,53,10746
34,Seoul,172,59,11077
35,Suwon,163,58,6684
36,Seoul,179,45,9422
37,Seoul,169,74,10425
38,Suwon,183,24,7373
39,Suwon,194,62,8933
40,Suwon,223,78,9557
41,Suwon,228,33,8950
42,Seoul,183,43,8743
43,Suwon,179,81,8002
44,Suwon,196,73,8104
45,Seoul,160,14,7204
46,Suwon,194,33,9598
47,Suwon,167,25,7209
48,Seoul,202,2,8585
49,Seoul,183,61,12087
50,Seoul,167,87,11042
51,Suwon,158,51,8343
52,Suwon,185,73,10180
53,Suwon,230,57,8626
54,Seoul,241,24,14028
55,Seoul,126,1,6478
56,Seoul,188,71,11216
57,Seoul,193,5,9762
58,Seoul,205,29,10484
59,Suwon,169,4,6162
60,Suwon,178,83,9686
61,Suwon,170,48,6684
62,Suwon,170,93,9452
63,Seoul,195,33,10878
64,Suwon,182,72,9937
65,Suwon,216,3,7128
66,Seoul,258,44,15464
67,Suwon,250,63,10463
68,Seoul,149,3,6980
69,Suwon,232,68,9748
70,Suwon,249,45,12517
71,Seoul,187,20,10423
72,Suwon,185,28,8539
73,Suwon,196,81,10553
74,Seoul,187,85,10477
75,Suwon,142,43,6395
76,Suwon,260,32,12142
77,Suwon,203,52,10029
78,Suwon,169,17,6391
79,Seoul,201,7,10533
80,Seoul,192,22,11148
81,Seoul,193,93,9649
82,Seoul,195,56,10926
83,Seoul,179,81,12352
84,Suwon,151,93,8313
85,Seoul,261,79,16942
86,Suwon,161,74,7283
87,Suwon,253,33,10394
88,Suwon,192,96,10551
89,Suwon,151,38,6689
90,Seoul,162,4,8701
91,Suwon,194,71,8858
92,Suwon,142,27,5904
93,Seoul,231,65,10832
94,Seoul,172,84,9269
95,Seoul,174,78,10785
96,Seoul,275,40,12665
97,Suwon,228,32,8666
98,Suwon,205,33,7602
99,Suwon,244,30,10041
100,Seoul,233,4,13989
101,Suwon,232,75,10701
102,Seoul,191,74,12030
103,Suwon,256,70,10830
104,Seoul,210,92,13862
105,Suwon,193,67,8369
106,Seoul,213,62,12484
107,Seoul,221,82,12345
108,Suwon,203,29,7526
109,Seoul,136,62,7584
110,Seoul,195,35,12007
111,Seoul,193,75,12315
112,Suwon,248,2,8740
113,Suwon,201,4,8233
114,Suwon,207,34,8733
115,Suwon,173,89,8142
116,Seoul,268,12,13611
117,Seoul,189,24,10524
118,Suwon,194,9,8936
119,Seoul,249,91,12212
120,Suwon,178,30,8149
121,Suwon,237,66,11039
122,Suwon,230,49,9186
123,Suwon,235,90,9704
124,Suwon,205,93,10329
125,Suwon,231,47,8734
126,Suwon,234,15,10401
127,Suwon,242,27,11349
128,Seoul,203,52,11940
129,Suwon,196,48,7237
130,Suwon,222,43,9060
131,Suwon,182,69,9867
132,Seoul,214,76,11946
133,Seoul,192,90,12335
134,Suwon,185,100,9262
135,Suwon,197,42,8693
136,Suwon,169,76,7259
137,Seoul,160,34,10156
138,Seoul,230,62,10495
139,Seoul,153,27,7265
140,Suwon,226,100,11984
141,Suwon,206,36,7781
142,Seoul,178,72,10919
143,Seoul,191,4,9057
144,Seoul,207,48,9480
145,Suwon,198,68,10135
146,Seoul,201,75,11730
147,Seoul,157,65,9609
148,Suwon,242,28,11502
